Rank	Bigram	Frequency	Frequency per million	Zipf value
41	or	123221	6807.7746	6.833
42	al	121661	6721.587	6.8275
43	na	116018	6409.8197	6.8068
44	te	115654	6389.7093	6.8055
45	co	115321	6371.3115	6.8042
46	un	114184	6308.494	6.7999
47	at	108097	5972.1964	6.7761
48	me	103363	5710.65	6.7567
49	va	101400	5602.1973	6.7484
50	m$	101283	5595.7332	6.7479
51	ll	101065	5583.689	6.7469
52	ca	99057	5472.75	6.7382
53	on	96113	5310.0985	6.7251
54	^f	95961	5301.7007	6.7244
55	^u	94827	5239.0489	6.7193
56	in	94196	5204.1871	6.7164
57	sa	91146	5035.6792	6.7021
58	em	90523	5001.2594	6.6991
59	^i	90083	4976.9501	6.697
60	és	87794	4850.4863	6.6858
61	u$	86212	4763.0831	6.6779
62	ri	80649	4455.7358	6.6489
63	ma	80466	4445.6253	6.6479
64	tr	78386	4330.7084	6.6366
65	ia	76053	4201.8137	6.6234
66	os	75244	4157.1177	6.6188
67	om	73739	4073.9687	6.61
68	eu	73632	4068.0571	6.6094
69	le	73508	4061.2063	6.6087
70	ha	71721	3962.4772	6.598
71	am	71368	3942.9745	6.5958
72	ol	69529	3841.3725	6.5845
73	ti	69472	3838.2233	6.5841
74	ns	69211	3823.8035	6.5825
75	di	66650	3682.3121	6.5661
76	po	65698	3629.7155	6.5599
77	pa	65570	3622.6437	6.559
78	^b	65545	3621.2625	6.5589
79	as	63257	3494.854	6.5434
80	ai	62512	3453.6938	6.5383
81	si	62373	3446.0143	6.5373
82	ls	62218	3437.4508	6.5362
83	ix	61895	3419.6055	6.534
84	ci	61147	3378.2796	6.5287
85	it	60755	3356.6222	6.5259
86	gu	60380	3335.904	6.5232
87	et	59359	3279.4953	6.5158
88	da	58046	3206.9541	6.5061
89	^r	57612	3182.9762	6.5028
90	ve	57549	3179.4956	6.5024
91	ho	57267	3163.9155	6.5002
92	ir	57143	3157.0647	6.4993
93	to	56142	3101.7609	6.4916
94	c$	54799	3027.5622	6.4811
95	^é	54591	3016.0705	6.4794
96	ne	53931	2979.6065	6.4742
97	pr	53910	2978.4463	6.474
98	ot	53742	2969.1645	6.4726
99	li	52209	2884.4686	6.4601
100	ni	51250	2831.4853	6.452
101	ic	49883	2755.9606	6.4403
102	ro	49618	2741.3198	6.438
103	is	48758	2693.8061	6.4304
104	é$	48298	2668.3917	6.4262
105	ts	47886	2645.6294	6.4225
106	ss	47162	2605.6295	6.4159
107	ur	46198	2552.3699	6.4069
108	ac	45950	2538.6683	6.4046
109	vi	45409	2508.7788	6.3995
110	í$	44848	2477.7844	6.3941
111	^g	43781	2418.8343	6.3836
112	ò$	43395	2397.5084	6.3798
113	mi	43288	2391.5968	6.3787
114	aq	42920	2371.2653	6.375
115	mo	42708	2359.5527	6.3728
116	ei	42351	2339.829	6.3692
117	so	42337	2339.0555	6.369
118	rt	42248	2334.1384	6.3681
119	fe	41805	2309.6633	6.3635
120	ad	41725	2305.2434	6.3627
121	ui	41698	2303.7517	6.3624
122	mb	41425	2288.6688	6.3596
123	^j	40921	2260.8236	6.3543
124	ig	40579	2241.9286	6.3506
125	lt	40531	2239.2767	6.3501
126	è$	40482	2236.5695	6.3496
127	'a	40413	2232.7574	6.3488
128	nc	39961	2207.7851	6.344
129	av	39352	2174.1387	6.3373
130	d'	38592	2132.1499	6.3288
131	eg	37497	2071.6528	6.3163
132	l'	37038	2046.2937	6.311
133	uè	36916	2039.5534	6.3095
134	vo	35931	1985.1336	6.2978
135	^o	35512	1961.9845	6.2927
136	do	35406	1956.1282	6.2914
137	ba	35258	1947.9514	6.2896
138	à$	35256	1947.8409	6.2896
139	ec	35077	1937.9514	6.2873
140	us	33952	1875.7969	6.2732
141	im	32827	1813.6423	6.2586
142	ie	32627	1802.5926	6.2559
143	ga	32016	1768.8358	6.2477
144	mp	31617	1746.7916	6.2422
145	ap	31090	1717.6757	6.2349
146	il	30433	1681.3774	6.2257
147	ev	30286	1673.2559	6.2236
148	'h	29706	1641.2118	6.2152
149	he	29576	1634.0294	6.2133
150	fa	29057	1605.3555	6.2056
151	b$	28531	1576.2948	6.1976
152	ny	27890	1540.8805	6.1878
153	rd	27652	1527.7313	6.184
154	rr	27540	1521.5435	6.1823
155	ob	27288	1507.6209	6.1783
156	lo	27264	1506.2949	6.1779
157	ua	27237	1504.8032	6.1775
158	ab	27226	1504.1955	6.1773
159	hi	26757	1478.2839	6.1698
160	rà	26361	1456.4055	6.1633
161	tu	26092	1441.5437	6.1588
162	ó$	25570	1412.704	6.1501
163	r-	25530	1410.494	6.1494
164	sp	25514	1409.6101	6.1491
165	gr	25258	1395.4665	6.1447
166	'e	25181	1391.2123	6.1434
167	fi	24265	1340.6047	6.1273
168	ge	24065	1329.555	6.1237
169	ce	23911	1321.0467	6.1209
170	bé	23381	1291.765	6.1112
171	au	23277	1286.0192	6.1092
172	id	22714	1254.9143	6.0986
173	ja	22713	1254.859	6.0986
174	sc	22697	1253.9751	6.0983
175	mé	22554	1246.0745	6.0955
176	ag	22221	1227.6768	6.0891
177	ul	22104	1221.2127	6.0868
178	ut	22048	1218.1188	6.0857
179	xò	21689	1198.2846	6.0786
180	g$	21681	1197.8426	6.0784
181	jo	21409	1182.815	6.0729
182	oc	21322	1178.0084	6.0711
183	rs	21276	1175.467	6.0702
184	dr	21175	1169.8869	6.0681
185	nd	20845	1151.6548	6.0613
186	bl	20703	1143.8096	6.0584
187	ng	20396	1126.8483	6.0519
188	ió	20326	1122.9809	6.0504
189	rò	20117	1111.4339	6.0459
190	tà	20083	1109.5555	6.0451
191	cr	20047	1107.5666	6.0444
192	br	19228	1062.318	6.0263
193	sí	19066	1053.3678	6.0226
194	be	18892	1043.7545	6.0186
195	od	18847	1041.2684	6.0176
196	bo	18803	1038.8374	6.0165
197	fo	18357	1014.1966	6.0061
198	p$	18136	1001.9867	6.0009
199	d$	17853	986.3514	5.994
200	iu	17636	974.3624	5.9887
201	ct	17501	966.9039	5.9854
202	pl	16417	907.0145	5.9576
203	io	16157	892.6499	5.9507
204	pu	16035	885.9096	5.9474
205	y$	15869	876.7383	5.9429
206	ré	15804	873.1472	5.9411
207	xa	15624	863.2025	5.9361
208	pi	15476	855.0257	5.932
209	rm	15238	841.8765	5.9252
210	uí	15030	830.3849	5.9193
211	m'	14617	807.5672	5.9072
212	cu	14559	804.3628	5.9055
213	rn	13786	761.6557	5.8818
214	só	13634	753.258	5.8769
215	uc	13424	741.6558	5.8702
216	gi	13415	741.1585	5.8699
217	lg	13146	726.2967	5.8611
218	xe	12870	711.0481	5.8519
219	ed	12616	697.015	5.8432
220	su	12577	694.8603	5.8419
221	às	12453	688.0095	5.8376
222	ex	11611	641.4903	5.8072
223	t'	11390	629.2803	5.7988
224	ju	11370	628.1754	5.7981
225	op	11140	615.4682	5.7892
226	-l	11111	613.866	5.7881
227	ps	10895	601.9323	5.7795
228	du	10651	588.4517	5.7697
229	rl	10488	579.4462	5.763
230	oi	10400	574.5843	5.7594
231	cl	10388	573.9214	5.7589
232	ud	10022	553.7004	5.7433
233	nv	9983	551.5457	5.7416
234	x$	9926	548.3965	5.7391
235	bi	9832	543.2032	5.735
236	ib	9771	539.833	5.7323
237	ru	9619	531.4353	5.7255
238	lu	9600	530.3855	5.7246
239	yo	9548	527.5126	5.7222
240	ón	9540	527.0706	5.7219
241	eb	9209	508.7834	5.7065
242	vu	9167	506.4629	5.7045
243	iv	9150	505.5237	5.7037
244	h$	8784	485.3028	5.686
245	ou	8757	483.8111	5.6847
246	s'	8414	464.8608	5.6673
247	ov	8177	451.7669	5.6549
248	up	8144	449.9437	5.6532
249	go	8126	448.9493	5.6522
250	-h	8022	443.2034	5.6466
251	xi	7967	440.1647	5.6436
252	e'	7804	431.1592	5.6346
253	cs	7754	428.3968	5.6318
254	sé	7724	426.7394	5.6302
255	a'	7722	426.6289	5.6301
256	ea	7695	425.1372	5.6285
257	ep	7625	421.2698	5.6246
258	bu	7615	420.7173	5.624
259	ça	7513	415.0819	5.6181
260	-m	7509	414.8609	5.6179
261	xí	7143	394.64	5.5962
262	ú$	7053	389.6676	5.5907
263	àc	7052	389.6124	5.5906
264	rq	7002	386.85	5.5875
265	óc	6953	384.1428	5.5845
266	ya	6887	380.4964	5.5804
267	mà	6718	371.1594	5.5696
268	um	6679	369.0047	5.567
269	nf	6519	360.1649	5.5565
270	té	6503	359.281	5.5554
271	gú	6485	358.2865	5.5542
272	af	6467	357.292	5.553
273	ys	6217	343.4799	5.5359
274	-t	6161	340.386	5.532
275	if	6121	338.176	5.5291
276	rg	6118	338.0103	5.5289
277	aj	6094	336.6843	5.5272
278	rc	6027	332.9827	5.5224
279	th	5944	328.397	5.5164
280	'o	5754	317.8998	5.5023
281	k$	5706	315.2479	5.4987
282	lm	5668	313.1485	5.4958
283	pt	5658	312.596	5.495
284	'u	5643	311.7672	5.4938
285	cc	5491	303.3695	5.482
286	dé	5440	300.5518	5.4779
287	ug	5376	297.0159	5.4728
288	fr	5349	295.5242	5.4706
289	nç	5288	292.154	5.4656
290	og	5282	291.8225	5.4651
291	éu	5274	291.3806	5.4645
292	èn	5188	286.6292	5.4573
293	tg	5164	285.3032	5.4553
294	tè	5097	281.6016	5.4496
295	mu	5092	281.3253	5.4492
296	'm	4983	275.3032	5.4398
297	'n	4889	270.1099	5.4315
298	fu	4867	268.8944	5.4296
299	rv	4826	266.6292	5.4259
300	of	4822	266.4082	5.4255
301	'i	4809	265.69	5.4244
302	là	4709	260.1652	5.4152
303	ip	4694	259.3364	5.4139
304	n'	4671	258.0657	5.4117
305	ef	4591	253.6458	5.4042
306	nu	4582	253.1486	5.4034
307	nn	4574	252.7066	5.4026
308	ch	4573	252.6514	5.4025
309	oh	4523	249.8889	5.3977
310	ós	4257	235.1928	5.3714
311	^w	4219	233.0934	5.3675
312	sh	4071	224.9166	5.352
313	^x	4056	224.0879	5.3504
314	xp	4000	220.994	5.3444
315	u-	3986	220.2205	5.3429
316	rí	3824	211.2702	5.3248
317	tí	3771	208.3421	5.3188
318	mí	3752	207.2923	5.3166
319	't	3735	206.3531	5.3146
320	^k	3730	206.0769	5.314
321	tz	3722	205.6349	5.3131
322	ld	3676	203.0935	5.3077
323	ck	3566	197.0161	5.2945
323	je	3566	197.0161	5.2945
324	nj	3545	195.8559	5.2919
324	íe	3545	195.8559	5.2919
325	gn	3440	190.0548	5.2789
326	ah	3426	189.2813	5.2771
327	za	3402	187.9554	5.2741
328	íc	3381	186.7952	5.2714
329	eo	3363	185.8007	5.269
330	ee	3350	185.0825	5.2674
331	tx	3344	184.751	5.2666
332	ès	3328	183.867	5.2645
333	-s	3298	182.2095	5.2606
334	gl	3236	178.7841	5.2523
335	sr	3224	178.1211	5.2507
336	xo	3218	177.7897	5.2499
337	tj	3200	176.7952	5.2475
338	àn	3149	173.9775	5.2405
339	ub	3075	169.8891	5.2302
340	a-	3032	167.5134	5.224
341	aç	3004	165.9665	5.22
342	ué	2938	162.3201	5.2104
343	lp	2916	161.1046	5.2071
344	ej	2894	159.8891	5.2038
345	àr	2893	159.8339	5.2037
346	ry	2810	155.2483	5.191
347	lv	2795	154.4195	5.1887
348	-n	2770	153.0383	5.1848
349	lí	2764	152.7068	5.1839
350	'l	2743	151.5466	5.1805
351	wa	2734	151.0494	5.1791
352	rx	2718	150.1654	5.1766
353	ís	2713	149.8892	5.1758
354	hu	2675	147.7897	5.1696
355	eq	2587	142.9279	5.1551
356	oo	2522	139.3367	5.1441
357	i'	2521	139.2815	5.1439
358	fl	2494	137.7897	5.1392
358	èr	2494	137.7897	5.1392
359	mm	2464	136.1323	5.134
360	sm	2462	136.0218	5.1336
361	ey	2391	132.0991	5.1209
362	òr	2375	131.2152	5.118
363	s-	2347	129.6682	5.1128
364	mó	2339	129.2262	5.1114
365	ly	2323	128.3423	5.1084
365	tt	2323	128.3423	5.1084
366	ke	2313	127.7898	5.1065
367	rè	2280	125.9666	5.1003
368	'ú	2263	125.0273	5.097
369	iq	2231	123.2594	5.0908
370	ae	2179	120.3865	5.0806
371	t-	2155	119.0605	5.0758
372	sq	2126	117.4583	5.0699
373	ún	2121	117.1821	5.0689
374	dó	2101	116.0771	5.0647
375	rp	2071	114.4196	5.0585
376	ms	2041	112.7622	5.0522
377	nq	2040	112.7069	5.052
378	vé	2011	111.1047	5.0457
379	tò	2007	110.8837	5.0449
380	tm	1994	110.1655	5.042
381	rb	1973	109.0053	5.0374
382	cà	1967	108.6738	5.0361
383	bs	1892	104.5301	5.0192
384	íl	1879	103.8119	5.0162
385	lc	1876	103.6462	5.0156
386	eï	1873	103.4804	5.0149
387	ç$	1863	102.9279	5.0125
388	ka	1853	102.3755	5.0102
389	rk	1841	101.7125	5.0074
390	-v	1835	101.381	5.006
391	ki	1817	100.3865	5.0017
392	ze	1809	99.9445	4.9998
393	úl	1798	99.3368	4.9971
394	ye	1767	97.6241	4.9896
395	aó	1763	97.4031	4.9886
396	eh	1749	96.6296	4.9851
397	rf	1717	94.8617	4.9771
398	lè	1715	94.7512	4.9766
399	ín	1714	94.6959	4.9763
400	's	1692	93.4805	4.9707
401	àp	1688	93.2595	4.9697
402	wi	1619	89.4473	4.9516
403	ay	1618	89.3921	4.9513
404	nr	1608	88.8396	4.9486
405	ty	1594	88.0661	4.9448
406	e-	1585	87.5689	4.9423
407	bò	1555	85.9114	4.9341
408	^ú	1528	84.4197	4.9264
409	f$	1513	83.591	4.9222
410	èi	1510	83.4252	4.9213
411	rç	1506	83.2042	4.9201
412	àv	1499	82.8175	4.9181
413	m-	1496	82.6517	4.9173
414	lò	1486	82.0993	4.9143
415	nè	1474	81.4363	4.9108
416	sf	1472	81.3258	4.9102
417	ví	1460	80.6628	4.9067
418	bt	1456	80.4418	4.9055
419	mè	1403	77.5136	4.8894
420	ús	1378	76.1324	4.8816
421	oe	1369	75.6352	4.8787
422	uï	1358	75.0275	4.8752
423	ow	1355	74.8617	4.8743
424	nk	1350	74.5855	4.8727
425	ït	1341	74.0882	4.8697
426	hn	1329	73.4252	4.8658
427	aa	1318	72.8175	4.8622
428	ds	1272	70.2761	4.8468
429	^z	1270	70.1656	4.8461
430	xt	1269	70.1103	4.8458
431	tl	1268	70.0551	4.8454
432	fà	1259	69.5579	4.8423
433	mn	1252	69.1711	4.8399
434	^à	1239	68.4529	4.8354
435	sb	1238	68.3976	4.835
436	üe	1182	65.3037	4.8149
437	zi	1170	64.6407	4.8105
438	^y	1164	64.3092	4.8083
439	ró	1163	64.254	4.8079
440	fí	1161	64.1435	4.8072
441	ló	1139	62.928	4.7988
442	dy	1138	62.8728	4.7985
443	nú	1112	61.4363	4.7884
444	ok	1110	61.3258	4.7876
445	xc	1106	61.1048	4.7861
446	ak	1092	60.3314	4.7805
447	we	1081	59.7236	4.7761
448	oq	1075	59.3921	4.7737
449	nl	1071	59.1711	4.7721
450	èc	1067	58.9501	4.7705
451	yi	1055	58.2872	4.7656
452	ço	1053	58.1767	4.7647
453	iè	1040	57.4584	4.7594
454	òl	1026	56.685	4.7535
455	pè	1019	56.2982	4.7505
456	uf	995	54.9723	4.7401
457	ïn	986	54.475	4.7362
458	òs	984	54.3645	4.7353
459	cò	983	54.3093	4.7349
460	yn	981	54.1988	4.734
461	oy	980	54.1435	4.7335
462	aï	973	53.7568	4.7304
463	àt	971	53.6463	4.7295
464	ax	959	52.9833	4.7241
465	àl	957	52.8728	4.7232
466	dí	953	52.6518	4.7214
466	uj	953	52.6518	4.7214
467	ik	952	52.5966	4.721
468	w$	945	52.2098	4.7178
469	tú	943	52.0993	4.7168
470	xè	941	51.9888	4.7159
471	iç	929	51.3259	4.7103
471	oj	929	51.3259	4.7103
472	sl	928	51.2706	4.7099
473	pc	923	50.9944	4.7075
474	bj	899	49.6684	4.6961
475	sg	889	49.1159	4.6912
476	nz	886	48.9502	4.6898
477	lf	883	48.7844	4.6883
478	yl	881	48.6739	4.6873
479	ff	880	48.6187	4.6868
480	nx	873	48.2319	4.6833
481	én	872	48.1767	4.6828
482	cí	864	47.7347	4.6788
483	òp	860	47.5137	4.6768
484	ïd	858	47.4032	4.6758
485	my	856	47.2927	4.6748
486	sà	854	47.1822	4.6738
487	qü	843	46.5745	4.6681
488	dè	837	46.243	4.665
489	gg	836	46.1877	4.6645
490	tó	835	46.1325	4.664
491	ko	827	45.6905	4.6598
491	ít	827	45.6905	4.6598
492	àg	826	45.6353	4.6593
493	nà	814	44.9723	4.6529
494	ià	813	44.917	4.6524
495	né	811	44.8065	4.6513
496	cè	810	44.7513	4.6508
497	ew	802	44.3093	4.6465
498	ph	797	44.033	4.6438
499	sk	791	43.7016	4.6405
500	zo	787	43.4806	4.6383
501	èf	782	43.2043	4.6355
502	vó	780	43.0938	4.6344
503	yr	771	42.5966	4.6294
504	i-	758	41.8784	4.622
505	òm	751	41.4916	4.618
506	hr	747	41.2706	4.6156
507	dm	740	40.8839	4.6116
508	lb	728	40.2209	4.6045
509	úp	727	40.1657	4.6039
510	ní	725	40.0552	4.6027
511	oa	719	39.7237	4.599
512	uà	713	39.3922	4.5954
513	mú	703	38.8397	4.5893
514	gè	702	38.7844	4.5887
515	dò	701	38.7292	4.588
516	mò	698	38.5634	4.5862
516	wo	698	38.5634	4.5862
517	ím	697	38.5082	4.5856
518	úm	690	38.1215	4.5812
519	bè	686	37.9005	4.5786
520	çò	685	37.8452	4.578
521	sè	671	37.0717	4.569
522	íd	669	36.9612	4.5677
523	sd	667	36.8507	4.5664
524	^'	654	36.1325	4.5579
525	gü	651	35.9668	4.5559
526	n-	648	35.801	4.5539
527	ji	646	35.6905	4.5526
527	sy	646	35.6905	4.5526
528	pà	643	35.5248	4.5505
529	nó	642	35.4695	4.5499
530	dv	641	35.4143	4.5492
531	có	635	35.0828	4.5451
532	ky	632	34.917	4.543
533	òn	628	34.6961	4.5403
534	mt	627	34.6408	4.5396
535	dd	623	34.4198	4.5368
536	ao	622	34.3646	4.5361
537	gh	619	34.1988	4.534
538	íf	616	34.0331	4.5319
539	lç	602	33.2596	4.5219
540	dà	600	33.1491	4.5205
541	az	597	32.9834	4.5183
542	bb	596	32.9281	4.5176
543	úb	592	32.7071	4.5146
544	z$	589	32.5414	4.5124
545	pú	574	31.7126	4.5012
546	aí	571	31.5469	4.499
546	xu	571	31.5469	4.499
547	pò	558	30.8287	4.489
548	àm	553	30.5524	4.485
549	vè	548	30.2762	4.4811
550	éi	546	30.1657	4.4795
551	nh	542	29.9447	4.4763
552	èd	540	29.8342	4.4747
553	ii	536	29.6132	4.4715
553	ór	536	29.6132	4.4715
554	èt	527	29.116	4.4641
555	gs	524	28.9502	4.4617
556	aw	523	28.895	4.4608
557	iz	519	28.674	4.4575
558	tc	518	28.6187	4.4566
559	fè	510	28.1767	4.4499
560	ox	508	28.0662	4.4482
561	lé	506	27.9557	4.4465
562	^è	502	27.7347	4.443
563	èl	492	27.1823	4.4343
564	mc	485	26.7955	4.4281
565	ku	482	26.6298	4.4254
566	ek	481	26.5745	4.4245
567	v$	480	26.5193	4.4236
568	òb	477	26.3535	4.4208
569	ér	469	25.9115	4.4135
570	và	461	25.4696	4.406
571	'à	460	25.4143	4.4051
571	by	460	25.4143	4.4051
571	x-	460	25.4143	4.4051
572	ux	457	25.2486	4.4022
573	ïb	455	25.1381	4.4003
574	òg	445	24.5856	4.3907
575	cé	444	24.5303	4.3897
576	ks	441	24.3646	4.3868
577	bà	428	23.6464	4.3738
578	àq	422	23.3149	4.3676
579	kh	417	23.0386	4.3625
580	cn	415	22.9281	4.3604
581	oï	410	22.6519	4.3551
582	yd	409	22.5966	4.354
583	zz	405	22.3756	4.3498
584	sv	393	21.7127	4.3367
585	uq	389	21.4917	4.3323
585	ïc	389	21.4917	4.3323
586	cy	380	20.9944	4.3221
587	èx	377	20.8287	4.3187
588	-e	369	20.3867	4.3093
588	hm	369	20.3867	4.3093
589	gm	365	20.1657	4.3046
590	ía	358	19.779	4.2962
591	dn	354	19.558	4.2913
592	kl	353	19.5027	4.2901
592	sú	353	19.5027	4.2901
593	çó	352	19.4475	4.2889
594	pp	349	19.2817	4.2851
595	^ò	343	18.9502	4.2776
595	wh	343	18.9502	4.2776
595	út	343	18.9502	4.2776
596	iï	337	18.6187	4.2699
597	fó	331	18.2873	4.2621
598	nò	328	18.1215	4.2582
599	èp	326	18.011	4.2555
600	hò	323	17.8453	4.2515
601	òx	320	17.6795	4.2475
602	mr	318	17.569	4.2447
603	uo	309	17.0718	4.2323
604	àb	306	16.906	4.228
605	eç	305	16.8508	4.2266
606	bv	304	16.7955	4.2252
606	dj	304	16.7955	4.2252
607	'é	303	16.7403	4.2238
607	ht	303	16.7403	4.2238
607	nm	303	16.7403	4.2238
608	rz	302	16.685	4.2223
609	km	292	16.1326	4.2077
609	rh	292	16.1326	4.2077
610	uk	291	16.0773	4.2062
611	üè	290	16.0221	4.2047
612	àf	288	15.9116	4.2017
613	nb	286	15.8011	4.1987
614	sn	285	15.7458	4.1972
615	lk	282	15.5801	4.1926
616	o-	279	15.4143	4.1879
617	bú	272	15.0276	4.1769
617	ï$	272	15.0276	4.1769
618	ez	270	14.9171	4.1737
619	fb	269	14.8618	4.1721
620	gt	268	14.8066	4.1705
620	gà	268	14.8066	4.1705
621	dw	265	14.6409	4.1656
622	rj	263	14.5304	4.1623
623	-a	261	14.4199	4.159
623	bd	261	14.4199	4.159
624	hy	259	14.3094	4.1556
625	'$	254	14.0331	4.1472
626	lh	252	13.9226	4.1437
627	ïs	248	13.7016	4.1368
628	-c	247	13.6464	4.135
629	rú	246	13.5911	4.1333
630	tp	239	13.2044	4.1207
631	úv	238	13.1491	4.1189
632	uh	236	13.0386	4.1152
632	òt	236	13.0386	4.1152
633	àx	233	12.8729	4.1097
634	bí	231	12.7624	4.1059
635	gd	230	12.7072	4.104
636	ln	229	12.6519	4.1022
636	yw	229	12.6519	4.1022
637	lz	228	12.5967	4.1003
638	hb	226	12.4862	4.0964
639	kr	225	12.4309	4.0945
639	èm	225	12.4309	4.0945
640	pí	218	12.0442	4.0808
641	ij	217	11.9889	4.0788
641	kn	217	11.9889	4.0788
642	àd	208	11.4917	4.0604
642	íb	208	11.4917	4.0604
643	sò	207	11.4364	4.0583
643	íg	207	11.4364	4.0583
644	mf	206	11.3812	4.0562
645	bm	205	11.3259	4.0541
646	cú	203	11.2154	4.0498
647	yu	199	10.9945	4.0412
648	çu	198	10.9392	4.039
648	ŀl	198	10.9392	4.039
649	ft	197	10.884	4.0368
650	uv	193	10.663	4.0279
651	-r	190	10.4972	4.0211
652	gó	188	10.3867	4.0165
653	j$	185	10.221	4.0095
654	dg	184	10.1657	4.0071
655	hl	182	10.0552	4.0024
656	sw	181	10.0	4.0
656	wn	181	10.0	4.0
656	úr	181	10.0	4.0
657	l-	180	9.9447	3.9976
658	óm	178	9.8342	3.9927
659	uy	175	9.6685	3.9854
660	gí	172	9.5027	3.9778
661	^í	171	9.4475	3.9753
661	d-	171	9.4475	3.9753
662	òc	169	9.337	3.9702
663	fò	167	9.2265	3.965
664	-u	166	9.1712	3.9624
664	dh	166	9.1712	3.9624
664	yb	166	9.1712	3.9624
665	ø$	163	9.0055	3.9545
666	'f	160	8.8398	3.9464
666	lq	160	8.8398	3.9464
667	ih	157	8.674	3.9382
667	oz	157	8.674	3.9382
667	òd	157	8.674	3.9382
668	-d	156	8.6188	3.9354
669	hà	153	8.453	3.927
670	lú	152	8.3978	3.9242
670	yc	152	8.3978	3.9242
671	tb	151	8.3425	3.9213
672	-p	150	8.2873	3.9184
672	dl	150	8.2873	3.9184
672	ié	150	8.2873	3.9184
672	uu	150	8.2873	3.9184
673	^ó	149	8.232	3.9155
673	uz	149	8.232	3.9155
674	tn	148	8.1768	3.9126
675	tv	146	8.0663	3.9067
676	jú	145	8.011	3.9037
677	bó	144	7.9558	3.9007
677	pd	144	7.9558	3.9007
678	dú	141	7.79	3.8915
678	wu	141	7.79	3.8915
678	á$	141	7.79	3.8915
679	fé	140	7.7348	3.8884
679	án	140	7.7348	3.8884
680	àu	138	7.6243	3.8822
681	jà	137	7.569	3.879
682	db	136	7.5138	3.8759
683	xó	135	7.4585	3.8727
683	èg	135	7.4585	3.8727
683	ét	135	7.4585	3.8727
684	dt	134	7.4033	3.8694
684	tw	134	7.4033	3.8694
685	òf	131	7.2376	3.8596
686	'è	130	7.1823	3.8563
686	ïl	130	7.1823	3.8563
687	np	128	7.0718	3.8495
687	ïm	128	7.0718	3.8495
688	xé	127	7.0166	3.8461
689	hh	124	6.8508	3.8357
690	mh	123	6.7956	3.8322
691	eó	121	6.6851	3.8251
691	ws	121	6.6851	3.8251
692	gy	120	6.6298	3.8215
692	zu	120	6.6298	3.8215
693	rá	119	6.5746	3.8179
693	ör	119	6.5746	3.8179
694	rw	118	6.5193	3.8142
694	tá	118	6.5193	3.8142
694	èb	118	6.5193	3.8142
695	eŀ	117	6.4641	3.8105
696	pó	116	6.4088	3.8068
697	uó	115	6.3536	3.803
698	wl	114	6.2983	3.7992
698	íp	114	6.2983	3.7992
698	íq	114	6.2983	3.7992
699	-b	111	6.1326	3.7876
699	yg	111	6.1326	3.7876
700	xx	110	6.0773	3.7837
701	eà	109	6.0221	3.7797
702	td	108	5.9668	3.7757
703	cd	107	5.9116	3.7717
704	-i	106	5.8563	3.7676
704	wr	106	5.8563	3.7676
705	kw	105	5.8011	3.7635
705	yó	105	5.8011	3.7635
706	iò	102	5.6353	3.7509
707	ém	101	5.5801	3.7466
708	ym	100	5.5248	3.7423
709	pn	99	5.4696	3.738
709	ïa	99	5.4696	3.738
710	hö	98	5.4144	3.7336
711	-f	97	5.3591	3.7291
712	'í	96	5.3039	3.7246
712	rø	96	5.3039	3.7246
713	wy	93	5.1381	3.7108
714	fs	92	5.0829	3.7061
715	òv	91	5.0276	3.7014
716	aè	89	4.9171	3.6917
716	lw	89	4.9171	3.6917
716	md	89	4.9171	3.6917
716	zy	89	4.9171	3.6917
716	ás	89	4.9171	3.6917
716	ö$	89	4.9171	3.6917
717	eí	88	4.8619	3.6868
717	jd	88	4.8619	3.6868
718	má	87	4.8066	3.6818
719	kk	86	4.7514	3.6768
719	tø	86	4.7514	3.6768
719	ío	86	4.7514	3.6768
720	ml	85	4.6961	3.6717
720	yj	85	4.6961	3.6717
720	yt	85	4.6961	3.6717
721	^ï	83	4.5856	3.6614
721	fú	83	4.5856	3.6614
722	-w	82	4.5304	3.6561
722	òq	82	4.5304	3.6561
723	mö	81	4.4751	3.6508
723	o'	81	4.4751	3.6508
724	'ò	79	4.3646	3.6399
724	py	79	4.3646	3.6399
724	ør	79	4.3646	3.6399
725	-o	77	4.2541	3.6288
725	gp	77	4.2541	3.6288
726	gw	76	4.1989	3.6231
726	pé	76	4.1989	3.6231
727	bh	75	4.1436	3.6174
727	u'	75	4.1436	3.6174
728	jø	74	4.0884	3.6116
728	q$	74	4.0884	3.6116
729	'ó	73	4.0331	3.6056
729	gb	73	4.0331	3.6056
730	qa	72	3.9779	3.5997
